ip.len,ip.flags.df,ip.flags.mf,tcp.port,tcp.window_size,tcp.ack_raw,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size.1,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,udp.length,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,gtp.ext_hdr,gtp.ext_hdr.length,gtp.ext_hdr.pdu_ses_con.pdu_type,gtp.ext_hdr.pdu_ses_con.qos_flow_id,gtp.ext_hdr.pdu_ses_cont.ppp,gtp.ext_hdr.pdu_ses_cont.rqi,gtp.flags,gtp.flags.e,gtp.flags.payload,gtp.flags.pn,gtp.flags.reserved,gtp.flags.s,gtp.flags.version,gtp.length,gtp.message,gtp.teid,label
84,1,0,40402.0,0.0,0.0,0.0,0.0,0.0,64,17,0.0,0.0,1.0,0.0,227.0,0.0,4,0.0,0.0,0.0,0.0,2152,64,397.524233,0.355537,7.09954,3.520263,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,48,255,138,0
84,1,0,52694.0,0.0,931429866.0,0.0,0.0,0.0,64,17,64128.0,224.0,72.0,0.0,545.0,0.0,16,0.001295,0.0,0.0,0.0,2152,64,917.91919,0.001295,0.096031,0.001295,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,48,255,138,0
128,1,0,0.0,0.0,0.0,0.0,0.0,0.0,64,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2152,108,1547.430583,0.002602,0.0,0.0,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,92,255,1,0
169,1,0,56978.0,0.0,2623108052.0,0.0,0.0,0.0,64,17,64256.0,1.0,1.0,73.0,12.0,0.0,24,0.0,0.0,0.0,1.0,2152,149,21.800493,0.000364,0.158792,0.000364,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,133,255,146,0
84,1,0,80.0,0.0,3302542225.0,0.0,0.0,0.0,64,17,4194304.0,73.0,224.0,0.0,682.0,0.0,16,0.043113,0.0,0.0,0.0,2152,64,1148.613986,0.043113,0.140438,0.043113,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,48,255,1,0
155,1,0,59218.0,0.0,3351216987.0,0.0,0.0,0.0,64,17,64256.0,1.0,1.0,71.0,560.0,0.0,24,0.0,0.0,0.0,1.0,2152,135,943.497455,0.000152,0.045704,0.000152,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,119,255,138,0
28,0,0,0,0,0,0,0,0,63,17,0,0,0,0,0,0,0,0,0,0,0,1848,8,0.030611,9.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,0,63,17,0,0,0,0,0,0,0,0,0,0,0,8547,8,0.181729,7.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,0,63,17,0,0,0,0,0,0,0,0,0,0,0,4923,8,0.117816,1.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,1,0,36426.0,0.0,3629573130.0,0.0,0.0,0.0,64,17,64128.0,224.0,72.0,0.0,882.0,0.0,16,0.001279,0.0,0.0,0.0,2152,64,1486.927953,0.001279,0.095099,0.001279,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,48,255,138,0
